Dati meteo storici,,,,
DateTime,Media Temperatura,Temperatura Intervallo,,Media Umidità
,,low,high,
30.07.2024 12:00:00,"34,98","34,8","35,1","35,38"
30.07.2024 13:00:00,"35,08","34,8","35,3","33,89"
30.07.2024 14:00:00,"35,14","34,8","35,5","33,49"
30.07.2024 15:00:00,"34,4","33,9","34,8","35,22"
30.07.2024 16:00:00,"33,11","32,6",34,"35,3"
30.07.2024 17:00:00,"32,18","31,5","32,7","34,67"
30.07.2024 18:00:00,"29,8","28,1","31,2","38,26"
30.07.2024 19:00:00,"27,23","26,6","27,8","41,87"
30.07.2024 20:00:00,"25,48","24,8","26,3","46,15"
30.07.2024 21:00:00,"23,97",23,"24,8","54,17"
30.07.2024 22:00:00,"22,43","22,3","22,7","62,64"
30.07.2024 23:00:00,"22,35","22,1","22,7","64,17"
31.07.2024 00:00:00,"22,81","22,4","23,2","63,45"
31.07.2024 01:00:00,"21,67","21,2","22,2","67,49"
31.07.2024 02:00:00,"21,25","21,1","21,5","68,79"
31.07.2024 03:00:00,"20,71","20,5","20,9","71,13"
31.07.2024 04:00:00,"20,33","20,2","20,4","72,8"
31.07.2024 05:00:00,"21,31","20,3","22,1","71,2"
31.07.2024 06:00:00,"23,95","22,3","25,8","64,55"
31.07.2024 07:00:00,"28,23","26,2","30,3","52,47"
31.07.2024 08:00:00,"32,09","30,7","33,2","42,21"
31.07.2024 09:00:00,"33,77","33,1","34,6","37,65"
31.07.2024 10:00:00,"35,07","34,1","35,9","35,43"
31.07.2024 11:00:00,"36,74","36,1","37,6","32,78"
31.07.2024 12:00:00,"37,42","37,1","37,8","32,03"
31.07.2024 13:00:00,"38,14","37,8","38,4","31,02"
31.07.2024 14:00:00,"38,28",38,"38,7","31,31"
31.07.2024 15:00:00,"38,25","38,1","38,5","31,28"
31.07.2024 16:00:00,"36,4","34,8","37,8","34,55"
31.07.2024 17:00:00,"33,72","32,7","34,5","40,01"
31.07.2024 18:00:00,"30,95","29,6","32,3","46,4"
31.07.2024 19:00:00,"28,25",27,"29,3","53,02"
31.07.2024 20:00:00,"25,85","25,3","26,6","62,99"
31.07.2024 21:00:00,"24,44","23,9","25,1","68,2"
31.07.2024 22:00:00,"23,85","23,5","24,1","61,68"
31.07.2024 23:00:00,"22,93","22,6","23,6","60,97"
01.08.2024 00:00:00,"23,77","22,9","24,1","55,79"
01.08.2024 01:00:00,"22,91","22,5","23,8","59,66"
01.08.2024 02:00:00,"23,92","22,6",25,"56,23"
01.08.2024 03:00:00,"24,75","24,1","25,1","55,15"
01.08.2024 04:00:00,"24,12","23,7","24,9","59,85"
01.08.2024 05:00:00,"23,77","23,5","24,3","64,53"
01.08.2024 06:00:00,"26,31","24,6",28,"59,37"
01.08.2024 07:00:00,"30,05","28,3","31,7","50,42"
01.08.2024 08:00:00,"33,56","32,2","34,7","44,67"
01.08.2024 09:00:00,"35,08","34,7","35,5","43,52"
01.08.2024 10:00:00,"36,7","35,7","37,7","40,75"
01.08.2024 11:00:00,"38,06","37,8","38,2","38,03"
01.08.2024 12:00:00,"38,88","38,5","39,3","34,11"
01.08.2024 13:00:00,"39,35",39,"39,7","32,28"
01.08.2024 14:00:00,"39,15","38,6","39,6","32,54"
01.08.2024 15:00:00,"38,05","37,5","38,4","33,83"
01.08.2024 16:00:00,"36,88","35,8","37,4","29,75"
01.08.2024 17:00:00,"34,93",34,"35,7","24,81"
01.08.2024 18:00:00,"33,4","32,5","34,3","24,07"
01.08.2024 19:00:00,"31,36","30,7","32,3","26,96"
01.08.2024 20:00:00,"30,04","29,5","30,6","29,53"
01.08.2024 21:00:00,"28,91","28,3","29,5","31,23"
01.08.2024 22:00:00,"26,91","25,5","28,3","57,55"
01.08.2024 23:00:00,"24,98",24,"25,6","74,93"
02.08.2024 00:00:00,"23,11","22,6","23,8","83,47"
02.08.2024 01:00:00,"22,34","22,1","22,5","87,76"
02.08.2024 02:00:00,"21,95","21,8","22,2","89,44"
02.08.2024 03:00:00,"21,55","20,9",22,"86,34"
02.08.2024 04:00:00,"20,54","20,1","20,9","82,64"
02.08.2024 05:00:00,"21,11","20,5","21,8","85,85"
02.08.2024 06:00:00,"23,51",22,"24,9","77,57"
02.08.2024 07:00:00,"26,98","25,1","28,5","67,55"
02.08.2024 08:00:00,"29,85","28,5","31,5","56,52"
02.08.2024 09:00:00,"31,62","31,1","32,5","48,41"
02.08.2024 10:00:00,"33,45","32,7","34,6","43,39"
02.08.2024 11:00:00,"35,09",34,"35,7","40,54"
02.08.2024 12:00:00,"36,09","35,4","36,8","39,05"
02.08.2024 13:00:00,"36,79","36,5","37,2","38,38"
02.08.2024 14:00:00,"36,92","36,3","37,3","38,33"
02.08.2024 15:00:00,"33,2","31,6","35,7","49,75"
02.08.2024 16:00:00,"32,72","31,7","33,4","54,33"
02.08.2024 17:00:00,"30,13","29,2","31,7","59,88"
02.08.2024 18:00:00,"28,55","27,6","29,3","64,62"
02.08.2024 19:00:00,"26,83","26,4","27,4","70,55"
02.08.2024 20:00:00,"25,6","25,2","26,3","75,35"
02.08.2024 21:00:00,"24,87","24,5","25,3","76,76"
02.08.2024 22:00:00,"24,42","24,2","24,8","79,93"
02.08.2024 23:00:00,"24,15","23,8","24,5","81,8"
03.08.2024 00:00:00,"24,03","23,7","24,3","83,68"
03.08.2024 01:00:00,"23,68","23,3","23,9","84,87"
03.08.2024 02:00:00,"23,23","23,1","23,3","87,31"
03.08.2024 03:00:00,"22,97","22,8","23,2","88,52"
03.08.2024 04:00:00,"23,08","22,8","23,3","88,19"
03.08.2024 05:00:00,"23,55","23,3","24,3","88,09"
03.08.2024 06:00:00,"25,66","24,5","27,3","79,61"
03.08.2024 07:00:00,29,"27,6","30,3","65,66"
03.08.2024 08:00:00,"30,98","30,2","31,7","58,08"
03.08.2024 09:00:00,"31,29","30,3",32,"59,43"
03.08.2024 10:00:00,"29,25","26,7","32,1","57,85"
03.08.2024 11:00:00,"24,24","22,6","26,4","69,8"
03.08.2024 12:00:00,"24,83","24,4","25,6","70,53"
03.08.2024 13:00:00,"26,33","25,5","27,7","66,38"
03.08.2024 14:00:00,"28,59","27,4","30,5","59,36"
03.08.2024 15:00:00,"30,49","29,9",31,"50,72"
03.08.2024 16:00:00,"30,77","30,4","31,2","47,95"
03.08.2024 17:00:00,"29,33","27,3","30,5","52,72"
03.08.2024 18:00:00,"25,71","25,3","26,6","63,74"
03.08.2024 19:00:00,"24,64","23,8","25,4","69,1"
03.08.2024 20:00:00,"22,86","22,5","23,6","76,35"
03.08.2024 21:00:00,"21,95","21,5","22,6","82,4"
03.08.2024 22:00:00,"21,26","20,9","21,5","85,95"
03.08.2024 23:00:00,"20,68","20,4","20,9","88,16"
04.08.2024 00:00:00,"20,84","20,5",21,"87,31"
04.08.2024 01:00:00,"20,55","19,8","21,1","87,23"
04.08.2024 02:00:00,"19,45","19,3","19,6","91,85"
04.08.2024 03:00:00,"20,03","19,7","20,3","88,32"
04.08.2024 04:00:00,"19,17",19,"19,6","91,12"
04.08.2024 05:00:00,"20,18","19,2","20,8","86,57"
04.08.2024 06:00:00,"22,17","20,7","24,1","80,01"
04.08.2024 07:00:00,"25,71","24,5","28,2","66,99"
04.08.2024 08:00:00,"29,93","28,5","31,1","56,24"
04.08.2024 09:00:00,"32,07","31,6","32,7","47,95"
04.08.2024 10:00:00,"33,25","32,3",34,"42,16"
04.08.2024 11:00:00,"34,41","34,1","35,1","39,95"
04.08.2024 12:00:00,"34,8","34,5","35,1","39,19"
04.08.2024 13:00:00,"35,24",35,"35,4","37,18"
04.08.2024 14:00:00,"35,21","34,6","35,7","36,93"
04.08.2024 15:00:00,"34,08","33,5","34,8","38,94"
04.08.2024 16:00:00,"33,29","32,9","33,5","35,45"
