Dati meteo storici,,,,
DateTime,Media Temperatura,Temperatura Intervallo,,Media Umidità
,,low,high,
11.07.2024 01:00:00,17,17,17,"86,6"
11.07.2024 02:00:00,"16,32","15,7","16,9","86,83"
11.07.2024 03:00:00,"15,47","15,4","15,6","87,32"
11.07.2024 04:00:00,"14,67","14,4","15,2","88,19"
11.07.2024 05:00:00,"14,54","14,4","14,7","87,45"
11.07.2024 06:00:00,"15,1","14,5","15,8","84,68"
11.07.2024 07:00:00,"20,83","16,1",25,"69,34"
11.07.2024 08:00:00,"28,42","25,3","30,3","44,95"
11.07.2024 09:00:00,"31,69","30,4","32,3","36,04"
11.07.2024 10:00:00,"31,67","31,4","32,1","34,07"
11.07.2024 11:00:00,"31,77","31,5","32,3","38,75"
11.07.2024 12:00:00,"32,36",32,"32,7","38,75"
11.07.2024 13:00:00,"32,88","32,5","33,4","38,5"
11.07.2024 14:00:00,"33,48","33,2","34,1","37,38"
11.07.2024 15:00:00,"34,02","33,6","34,6","35,15"
11.07.2024 16:00:00,"34,1","33,8","34,6","33,89"
11.07.2024 17:00:00,34,"33,8","34,2","33,66"
11.07.2024 18:00:00,"33,32","32,8",34,"36,24"
11.07.2024 19:00:00,"31,95","31,4","32,5","40,71"
11.07.2024 20:00:00,"30,25","27,5","31,7","46,69"
11.07.2024 21:00:00,"24,72",23,27,"61,58"
11.07.2024 22:00:00,"22,63","21,5","23,6","68,35"
11.07.2024 23:00:00,"20,64","20,3","21,4","74,3"
12.07.2024 00:00:00,"19,78",19,"20,6","74,68"
12.07.2024 01:00:00,"18,44","17,7","19,8","79,29"
12.07.2024 02:00:00,"17,16","16,7","17,9","83,68"
12.07.2024 03:00:00,"16,69","16,3","17,2","85,05"
12.07.2024 04:00:00,"15,97","15,8","16,2","89,31"
12.07.2024 05:00:00,"15,83","15,7",16,"91,72"
12.07.2024 06:00:00,"15,71","15,6","16,1","92,94"
12.07.2024 07:00:00,"20,48","16,4","24,4","79,24"
12.07.2024 08:00:00,"27,02","24,9","29,5","54,89"
12.07.2024 09:00:00,"31,39","30,2",33,"42,56"
12.07.2024 10:00:00,"33,54","32,7","34,4","38,3"
12.07.2024 11:00:00,"34,38","33,1",35,"36,42"
12.07.2024 12:00:00,"35,79","34,5","36,5","33,7"
12.07.2024 13:00:00,"35,62","34,7","36,1","35,38"
12.07.2024 14:00:00,"35,06","34,6","35,5","35,55"
12.07.2024 15:00:00,"35,14","34,7","35,5","33,34"
12.07.2024 16:00:00,"34,62","34,1",35,"32,98"
12.07.2024 17:00:00,"34,23","33,8","34,7","32,12"
12.07.2024 18:00:00,"33,92","33,1","34,7","30,35"
12.07.2024 19:00:00,"33,24","32,4","34,1","32,09"
12.07.2024 20:00:00,"30,15","27,3","31,9","41,52"
12.07.2024 21:00:00,"23,45","21,6","26,3","64,37"
12.07.2024 22:00:00,"20,3","19,3","21,3","76,99"
12.07.2024 23:00:00,"19,48","18,8","19,9","78,1"
13.07.2024 00:00:00,"18,95","18,7","19,2","82,36"
13.07.2024 01:00:00,"18,83","18,6",20,"85,56"
13.07.2024 02:00:00,"19,08","18,4","19,9","85,25"
13.07.2024 03:00:00,"19,06","18,9","19,3","87,98"
13.07.2024 04:00:00,"19,03","18,8","19,2","91,65"
13.07.2024 05:00:00,"19,15",19,"19,3","94,28"
13.07.2024 06:00:00,"19,17",19,"19,4","95,52"
13.07.2024 07:00:00,"21,02","19,2","24,1","92,2"
13.07.2024 08:00:00,"25,65","24,3","26,5","74,31"
13.07.2024 09:00:00,"27,23","26,7",28,"69,21"
13.07.2024 10:00:00,"30,48","28,1","32,5","57,72"
13.07.2024 11:00:00,"32,04","30,9",33,"51,25"
13.07.2024 12:00:00,"33,66","32,8","34,8","45,62"
13.07.2024 13:00:00,"34,18","32,5","35,6","45,19"
13.07.2024 14:00:00,"32,73","31,9",34,"50,51"
13.07.2024 15:00:00,"32,89",31,35,"51,65"
13.07.2024 16:00:00,"32,23","30,6","33,8","50,95"
13.07.2024 17:00:00,"32,98","32,6","33,3","44,98"
13.07.2024 18:00:00,"32,32","31,9","32,8","45,78"
13.07.2024 19:00:00,"31,14","30,8","31,5","46,15"
13.07.2024 20:00:00,"29,25","25,6",31,"48,82"
13.07.2024 21:00:00,"23,13","20,6","25,4","64,92"
13.07.2024 22:00:00,"19,36","18,6","20,2","77,51"
13.07.2024 23:00:00,"18,23","17,5",19,"84,04"
14.07.2024 00:00:00,"17,09","16,9","17,4","90,73"
14.07.2024 01:00:00,"17,19","16,6","17,8","92,91"
14.07.2024 02:00:00,"16,29","16,2","16,4","94,36"
14.07.2024 03:00:00,"16,8","16,5","17,1","95,61"
14.07.2024 04:00:00,"17,58","16,8","18,3","96,06"
14.07.2024 05:00:00,"17,68","17,4","18,1","95,25"
14.07.2024 06:00:00,"17,61","17,5","17,9","95,44"
14.07.2024 07:00:00,"19,69",18,"22,9","91,53"
14.07.2024 08:00:00,"25,43","23,4","26,9","66,14"
14.07.2024 09:00:00,"29,75","27,3","31,3","49,41"
14.07.2024 10:00:00,"31,88",31,"32,6","46,02"
14.07.2024 11:00:00,"33,35","31,8",35,"40,43"
14.07.2024 12:00:00,"34,21","33,3","35,1","39,95"
14.07.2024 13:00:00,"34,82","33,9","35,8","41,9"
14.07.2024 14:00:00,"35,54",35,36,"40,39"
14.07.2024 15:00:00,"36,48",36,"36,9","39,43"
14.07.2024 16:00:00,"36,09","35,4","36,7","38,97"
14.07.2024 17:00:00,"34,4","33,5","35,5","41,26"
14.07.2024 18:00:00,"33,17","32,8","33,5","48,43"
14.07.2024 19:00:00,"32,6","32,2","33,1","51,86"
14.07.2024 20:00:00,"30,25","27,7",32,"62,8"
14.07.2024 21:00:00,"24,77","22,9",27,"78,91"
14.07.2024 22:00:00,"21,55","20,7","22,7","87,41"
14.07.2024 23:00:00,"20,03","19,5","20,6","91,62"
15.07.2024 00:00:00,"19,03","18,7","19,4","92,4"
15.07.2024 01:00:00,"18,55","18,2","18,9","92,63"
15.07.2024 02:00:00,"17,69","16,9","18,1","90,91"
15.07.2024 03:00:00,"16,69","16,3",17,"89,48"
15.07.2024 04:00:00,"16,07","15,9","16,3","89,03"
15.07.2024 05:00:00,"15,97","15,7","16,2","88,09"
15.07.2024 06:00:00,"15,91","15,7","16,3","91,44"
15.07.2024 07:00:00,"20,51","16,6","24,5","80,38"
15.07.2024 08:00:00,"27,12","24,7","29,6","56,45"
15.07.2024 09:00:00,"31,84","30,5","33,1","43,41"
15.07.2024 10:00:00,"33,18","31,8","34,3","39,53"
15.07.2024 11:00:00,"36,15","34,2","37,4","31,23"
15.07.2024 12:00:00,"36,4","35,7","37,2","30,04"
15.07.2024 13:00:00,"36,49","35,5",38,"27,45"
15.07.2024 14:00:00,"36,79",36,"37,3","30,62"
15.07.2024 15:00:00,"36,67","35,6","37,7","31,99"
15.07.2024 16:00:00,"36,97","36,4","37,6","30,41"
15.07.2024 17:00:00,"35,67",35,"36,8","32,01"
15.07.2024 18:00:00,"34,25",34,"34,9","33,72"
15.07.2024 19:00:00,"33,1","31,5","34,4","36,15"
15.07.2024 20:00:00,"30,29","27,8","31,4","41,91"
15.07.2024 21:00:00,"24,78","22,8","27,2","57,33"
15.07.2024 22:00:00,"23,15","22,6","23,8","62,49"
15.07.2024 23:00:00,"22,2","20,5",23,"64,38"
16.07.2024 00:00:00,"19,78","19,5","20,1","72,92"
16.07.2024 01:00:00,"18,89","17,9","19,8","75,6"
16.07.2024 02:00:00,"17,46","17,1","17,9","80,76"
16.07.2024 03:00:00,"16,72","16,4",17,"83,55"
16.07.2024 04:00:00,"16,18","15,7","16,5","85,03"
16.07.2024 05:00:00,"15,45","15,2","15,6",88
16.07.2024 06:00:00,"15,74","15,5","16,2","87,11"
16.07.2024 07:00:00,"20,59","16,5","23,6","71,41"
16.07.2024 08:00:00,"26,93","24,9","29,4","48,26"
16.07.2024 09:00:00,"31,57","29,8","32,6","37,9"
16.07.2024 10:00:00,"31,45","30,6","32,9","40,11"
16.07.2024 11:00:00,"32,44","31,6","33,2","41,35"
16.07.2024 12:00:00,"33,5","32,9","34,4","39,47"
16.07.2024 13:00:00,"34,63","34,3","35,3","33,55"
16.07.2024 14:00:00,"34,65","34,2","35,5","35,98"
16.07.2024 15:00:00,"35,01","34,7","35,8","35,4"
16.07.2024 16:00:00,"34,73","34,3","35,2","35,13"
16.07.2024 17:00:00,"34,32","33,9","34,8","35,22"
16.07.2024 18:00:00,"33,55","32,9",34,"36,64"
16.07.2024 19:00:00,32,"31,2","32,5","40,06"
16.07.2024 20:00:00,"29,55","27,9","30,9","46,92"
16.07.2024 21:00:00,"26,23","24,7","27,8","57,05"
16.07.2024 22:00:00,"22,8","21,7","24,5","68,25"
16.07.2024 23:00:00,"21,05","20,5","21,5","74,07"
17.07.2024 00:00:00,"19,73","19,5","20,3","77,95"
17.07.2024 01:00:00,"21,18","19,5","23,2","70,17"
17.07.2024 02:00:00,"20,41","19,3","21,8","71,2"
17.07.2024 03:00:00,"19,23",18,20,"75,22"
17.07.2024 04:00:00,"17,16","16,7","17,7","82,76"
17.07.2024 05:00:00,"16,65","16,3","16,9","85,39"
17.07.2024 06:00:00,"16,72","16,2","17,4","85,97"
17.07.2024 07:00:00,"21,41","17,7","25,5","72,05"
17.07.2024 08:00:00,"27,18","25,4","28,6","54,07"
17.07.2024 09:00:00,"31,41","29,4","32,7","42,35"
17.07.2024 10:00:00,"31,44","30,9","32,4","42,72"
17.07.2024 11:00:00,"33,27","32,7",34,"40,62"
17.07.2024 12:00:00,"34,83","33,9","35,9","37,85"
17.07.2024 13:00:00,"34,92","33,9","36,5","38,21"
17.07.2024 14:00:00,"36,17","35,1","37,3","34,52"
17.07.2024 15:00:00,"36,25","35,8","36,7","34,73"
17.07.2024 16:00:00,"36,17","35,3","36,8","32,37"
17.07.2024 17:00:00,"34,91","34,4","35,4","35,04"
17.07.2024 18:00:00,"34,14","33,4","34,6","35,05"
17.07.2024 19:00:00,"32,98","32,2","33,8",39
17.07.2024 20:00:00,"30,49","28,7","31,9","47,31"
17.07.2024 21:00:00,"27,1",25,"28,5","58,93"
17.07.2024 22:00:00,"23,55","22,6","24,4","69,65"
17.07.2024 23:00:00,"21,01",20,"22,3","75,01"
18.07.2024 00:00:00,"19,21","18,6","19,9","79,27"
18.07.2024 01:00:00,"17,99","17,5","18,6","81,79"
18.07.2024 02:00:00,"17,25","16,8","17,4","82,36"
18.07.2024 03:00:00,"16,27","15,9","16,6","82,28"
18.07.2024 04:00:00,"15,27","14,9","15,8","84,49"
18.07.2024 05:00:00,"14,78","14,6","14,9","85,91"
18.07.2024 06:00:00,"14,66","14,5","15,2","86,29"
18.07.2024 07:00:00,"19,73","15,4",24,"71,19"
18.07.2024 08:00:00,"27,58","24,9","29,2","49,26"
18.07.2024 09:00:00,"30,17","28,2","33,2","41,31"
18.07.2024 10:00:00,"33,65","32,9","35,1","35,52"
18.07.2024 11:00:00,"34,34","33,5","35,5","32,47"
18.07.2024 12:00:00,"35,92","35,4","36,7","29,45"
18.07.2024 13:00:00,"36,03","35,6","36,3","30,62"
18.07.2024 14:00:00,"36,27","35,8",37,"30,28"
18.07.2024 15:00:00,"36,01","35,3","36,4","34,05"
18.07.2024 16:00:00,"34,66","34,2","35,5","39,25"
18.07.2024 17:00:00,"33,78","33,6","34,2","37,94"
18.07.2024 18:00:00,"33,69","33,5","33,9","33,31"
18.07.2024 19:00:00,"32,79","32,2","33,4","34,81"
18.07.2024 20:00:00,"30,84","29,5","32,1","36,8"
18.07.2024 21:00:00,"28,62","27,7","29,2","42,4"
18.07.2024 22:00:00,"24,11","22,1",27,"54,77"
18.07.2024 23:00:00,"20,96","20,2","21,8","64,82"
19.07.2024 00:00:00,"20,06","19,7","20,3","65,44"
19.07.2024 01:00:00,"18,73",18,"19,4","67,86"
19.07.2024 02:00:00,"17,33","16,9","17,8","71,45"
19.07.2024 03:00:00,"17,07","16,9","17,3","73,51"
19.07.2024 04:00:00,"17,18",17,"17,6","73,6"
19.07.2024 05:00:00,"17,63","17,4",18,"73,62"
19.07.2024 06:00:00,"17,35","17,1","17,6","78,17"
19.07.2024 07:00:00,"21,39","17,8","25,3","67,55"
19.07.2024 08:00:00,"28,25","25,7","29,7","50,38"
19.07.2024 09:00:00,"32,56","30,9","33,2","42,84"
19.07.2024 10:00:00,"35,19","34,2","36,1","39,03"
