DateTime,Media Temperatura,Temperatura Intervallo,,Media Umidità
,,low,high,
05.07.2024 15:00:00,"31,65","31,1","32,2","37,08"
05.07.2024 16:00:00,"31,45",31,"32,2","33,55"
05.07.2024 17:00:00,"31,66","31,2","32,1","34,98"
05.07.2024 18:00:00,"30,08","29,2","30,8","42,39"
05.07.2024 19:00:00,"28,78","26,5","29,6","47,54"
05.07.2024 20:00:00,"24,26","22,4",26,"59,08"
05.07.2024 21:00:00,"20,1","18,6","21,9","76,51"
05.07.2024 22:00:00,"17,6",17,"18,4","87,61"
05.07.2024 23:00:00,"16,42",16,"16,9","91,33"
06.07.2024 00:00:00,"15,44","14,9","15,9",92
06.07.2024 01:00:00,"14,72","14,6","14,9","93,9"
06.07.2024 02:00:00,"14,31","14,1","14,5","95,22"
06.07.2024 03:00:00,"14,39","14,1","14,6","96,63"
06.07.2024 04:00:00,"14,11",14,"14,3","97,14"
06.07.2024 05:00:00,"13,92","13,7",14,"97,67"
06.07.2024 06:00:00,"13,91","13,6","14,4","97,65"
06.07.2024 07:00:00,"15,53","14,1","17,3","97,97"
06.07.2024 08:00:00,"21,66","18,5","24,3","79,96"
06.07.2024 09:00:00,"24,69","22,6","26,2","68,11"
06.07.2024 10:00:00,"27,08",26,"28,2","56,56"
06.07.2024 11:00:00,"28,58","27,4","29,9","53,4"
06.07.2024 12:00:00,"28,34","27,2","29,1","56,53"
06.07.2024 13:00:00,"28,35","27,9","28,9","56,36"
06.07.2024 14:00:00,"29,08","28,5","29,8","55,29"
06.07.2024 15:00:00,"30,05","29,7","30,6","43,86"
06.07.2024 16:00:00,"29,75","29,3","30,2","39,75"
06.07.2024 17:00:00,"29,67","29,2","30,2","40,09"
06.07.2024 18:00:00,"28,64","28,3","29,3","43,26"
06.07.2024 19:00:00,"28,01","26,1","28,9","51,72"
06.07.2024 20:00:00,"24,58","23,5","25,5","67,25"
06.07.2024 21:00:00,"22,25","21,3","23,3","75,41"
06.07.2024 22:00:00,"20,01","19,3",21,"85,78"
06.07.2024 23:00:00,"19,15","18,9","19,6","92,43"
07.07.2024 00:00:00,"19,52","19,2","19,7","94,97"
07.07.2024 01:00:00,"19,01","18,7","19,6","95,83"
07.07.2024 02:00:00,"20,07","19,7","20,4","96,03"
07.07.2024 03:00:00,"20,25",20,"20,5","93,09"
07.07.2024 04:00:00,"19,93","19,6","20,1","91,72"
07.07.2024 05:00:00,"19,79","19,6",20,"88,85"
07.07.2024 06:00:00,"20,78","20,1","21,2","83,49"
07.07.2024 07:00:00,"20,65","20,4","20,8","85,95"
07.07.2024 08:00:00,"20,42",20,"21,1","87,92"
07.07.2024 09:00:00,"22,21","21,2","24,8","82,89"
07.07.2024 10:00:00,"26,82","25,7","27,6","57,63"
07.07.2024 11:00:00,"28,39","26,9","29,4","54,46"
07.07.2024 12:00:00,"29,61",29,30,"50,43"
07.07.2024 13:00:00,"28,99","27,1","30,2","51,58"
07.07.2024 14:00:00,"25,89",25,"26,7","63,3"
07.07.2024 15:00:00,"26,04","25,6","26,7","63,24"
07.07.2024 16:00:00,"27,13","25,4","28,7","62,24"
07.07.2024 17:00:00,"25,28","24,9",26,"69,26"
07.07.2024 18:00:00,"25,79","25,2","26,5","70,24"
07.07.2024 19:00:00,"24,83","24,2","25,2","72,71"
07.07.2024 20:00:00,"23,9","23,8","24,1","78,09"
07.07.2024 21:00:00,"23,67","23,5","23,8","79,45"
07.07.2024 22:00:00,"22,91","22,5","23,5","82,47"
07.07.2024 23:00:00,"22,55","22,5","22,6","85,65"
08.07.2024 00:00:00,"22,26","21,8","22,5","87,24"
08.07.2024 01:00:00,"21,24","20,7","21,7","90,84"
08.07.2024 02:00:00,"21,05","20,7","21,3",93
08.07.2024 03:00:00,"20,26","19,6",21,"93,3"
08.07.2024 04:00:00,"19,55","19,3",20,"95,41"
08.07.2024 05:00:00,"19,7","19,1","20,1","96,56"
08.07.2024 06:00:00,"19,03","18,7","19,5","96,87"
08.07.2024 07:00:00,"20,27","19,2","21,9","97,32"
08.07.2024 08:00:00,"23,92","22,3",25,"87,41"
08.07.2024 09:00:00,"26,78","25,1","28,5","71,38"
08.07.2024 10:00:00,"30,05","28,1","31,3","58,87"
08.07.2024 11:00:00,"31,49","30,3","32,9","52,08"
08.07.2024 12:00:00,"30,65","29,3","31,9","49,97"
08.07.2024 13:00:00,"31,56",31,"32,1","48,82"
08.07.2024 14:00:00,"31,03","29,8","31,9","53,67"
08.07.2024 15:00:00,"31,73","30,9","32,3","48,66"
08.07.2024 16:00:00,"32,23","31,8","33,5","44,14"
08.07.2024 17:00:00,"33,12","32,2","33,9","40,2"
08.07.2024 18:00:00,"32,18","31,6","32,8","39,78"
08.07.2024 19:00:00,"30,66","28,7","31,5","40,88"
08.07.2024 20:00:00,"26,76","24,5","28,3","51,38"
08.07.2024 21:00:00,"22,32","20,7","24,3","66,21"
08.07.2024 22:00:00,"19,55","18,9","20,4","76,96"
08.07.2024 23:00:00,"18,67","18,3","18,9","78,5"
09.07.2024 00:00:00,"18,1",18,"18,2","80,27"
09.07.2024 01:00:00,"17,87","17,6","18,1","78,71"
09.07.2024 02:00:00,"17,86","17,3","18,8","76,71"
09.07.2024 03:00:00,"16,64","16,3","17,1","80,56"
09.07.2024 04:00:00,"16,17","15,9","16,3","81,33"
09.07.2024 05:00:00,"15,45","15,2","15,8","81,87"
09.07.2024 06:00:00,"15,33",15,"15,7","82,29"
09.07.2024 07:00:00,"16,79","15,6","18,6","80,03"
09.07.2024 08:00:00,"24,04","19,7","27,4","59,79"
09.07.2024 09:00:00,"29,16","26,2","31,2","44,6"
09.07.2024 10:00:00,"33,17","31,9","34,4","33,15"
09.07.2024 11:00:00,"34,82","34,3","35,2","30,84"
09.07.2024 12:00:00,"34,48","33,8","35,3","30,93"
09.07.2024 13:00:00,"33,65","33,3","34,3","31,24"
09.07.2024 14:00:00,"34,26","33,5",35,"31,06"
09.07.2024 15:00:00,"33,99","33,7","34,9","30,82"
09.07.2024 16:00:00,"34,75","33,9","35,5","29,38"
09.07.2024 17:00:00,"35,1","34,3",36,"28,69"
09.07.2024 18:00:00,"33,99","33,2","34,5","30,3"
09.07.2024 19:00:00,"33,68","31,9","34,3","31,41"
09.07.2024 20:00:00,"28,21","25,6","30,9","41,83"
09.07.2024 21:00:00,"23,6","21,7","25,3","55,71"
09.07.2024 22:00:00,"20,55","19,8","21,4","65,62"
09.07.2024 23:00:00,"19,22","18,8","19,7","70,39"
10.07.2024 00:00:00,"18,28","17,8","18,7","72,05"
10.07.2024 01:00:00,"17,44",17,"17,8","72,74"
10.07.2024 02:00:00,"16,69","16,4",17,"74,34"
10.07.2024 03:00:00,"16,44",16,"16,7","77,8"
10.07.2024 04:00:00,"16,05","15,9","16,2","80,74"
10.07.2024 05:00:00,"15,37",15,"15,8","84,65"
10.07.2024 06:00:00,"15,48",15,16,"87,12"
10.07.2024 07:00:00,"18,02","16,2","20,5","85,37"
10.07.2024 08:00:00,"24,95","21,5","27,2","66,58"
10.07.2024 09:00:00,"29,14","26,9","31,8","53,87"
10.07.2024 10:00:00,"33,27","32,5",34,"45,37"
10.07.2024 11:00:00,"34,85","33,4","35,7","41,44"
10.07.2024 12:00:00,"35,16","34,5","35,6","38,49"
10.07.2024 13:00:00,"35,46",35,"35,8","37,25"
10.07.2024 14:00:00,"34,84","34,5","35,2","40,94"
10.07.2024 15:00:00,"35,21","34,3","36,2","42,27"
10.07.2024 16:00:00,"35,26","34,6","36,1","42,45"
10.07.2024 17:00:00,"35,11",34,"36,1","41,65"
10.07.2024 18:00:00,"34,09","33,6","34,9","41,17"
