Grafico delle catture,,,,
DateTime,Numero di insetti,Nuove catture (per evento),Recensito,Evento
30.07.2024 22:01:00,0,0,Si,
31.07.2024 22:03:00,0,0,Si,
01.08.2024 22:01:00,0,0,Si,
02.08.2024 22:03:00,0,0,Si,
03.08.2024 22:04:00,0,0,Si,
04.08.2024 22:00:00,0,0,Si,
06.08.2024 00:02:00,0,0,Si,
07.08.2024 00:03:00,0,0,Si,
07.08.2024 00:16:59,,,Si,Cleaning
08.08.2024 00:03:00,0,0,Si,
09.08.2024 00:00:00,0,0,Si,
10.08.2024 00:01:00,0,0,Si,
11.08.2024 00:03:00,0,0,Si,
12.08.2024 00:04:00,0,0,Si,
12.08.2024 00:17:59,,,Si,Cleaning
13.08.2024 00:04:00,0,0,Si,
14.08.2024 00:00:00,0,0,Si,
15.08.2024 00:02:00,0,0,Si,
16.08.2024 00:03:00,0,0,Si,
17.08.2024 00:00:00,1,1,Si,
18.08.2024 00:01:00,1,0,Si,
18.08.2024 00:11:59,,,Si,Cleaning
19.08.2024 00:03:00,0,0,Si,
20.08.2024 00:05:00,4,4,Si,
21.08.2024 00:01:00,2,0,Si,
22.08.2024 00:03:00,4,2,Si,
23.08.2024 00:04:00,5,1,Si,
