DateTime,Media_Temperatura,Low_Temp,High_Temp,Media_Umidita,Date,Numero_Insetti,Nuove_Catture
2024-07-05 16:00:00,31.45,31,"32,2","33,55",2024-07-05,0,0
2024-07-05 17:00:00,31.66,"31,2","32,1","34,98",2024-07-05,0,0
2024-07-05 18:00:00,30.08,"29,2","30,8","42,39",2024-07-05,0,0
2024-07-05 19:00:00,28.78,"26,5","29,6","47,54",2024-07-05,0,0
2024-07-05 20:00:00,24.26,"22,4",26,"59,08",2024-07-05,0,0
2024-07-05 21:00:00,20.1,"18,6","21,9","76,51",2024-07-05,0,0
2024-07-05 22:00:00,17.6,17,"18,4","87,61",2024-07-05,0,0
2024-07-05 23:00:00,16.42,16,"16,9","91,33",2024-07-05,0,0
2024-07-06 00:00:00,15.44,"14,9","15,9",92,2024-07-06,0,0
2024-07-06 01:00:00,14.72,"14,6","14,9","93,9",2024-07-06,0,0
2024-07-06 02:00:00,14.31,"14,1","14,5","95,22",2024-07-06,0,0
2024-07-06 03:00:00,14.39,"14,1","14,6","96,63",2024-07-06,0,0
2024-07-06 04:00:00,14.11,14,"14,3","97,14",2024-07-06,0,0
2024-07-06 05:00:00,13.92,"13,7",14,"97,67",2024-07-06,0,0
2024-07-06 06:00:00,13.91,"13,6","14,4","97,65",2024-07-06,0,0
2024-07-06 07:00:00,15.53,"14,1","17,3","97,97",2024-07-06,0,0
2024-07-06 08:00:00,21.66,"18,5","24,3","79,96",2024-07-06,0,0
2024-07-06 09:00:00,24.69,"22,6","26,2","68,11",2024-07-06,0,0
2024-07-06 10:00:00,27.08,26,"28,2","56,56",2024-07-06,0,0
2024-07-06 11:00:00,28.58,"27,4","29,9","53,4",2024-07-06,0,0
2024-07-06 12:00:00,28.34,"27,2","29,1","56,53",2024-07-06,0,0
2024-07-06 13:00:00,28.35,"27,9","28,9","56,36",2024-07-06,0,0
2024-07-06 14:00:00,29.08,"28,5","29,8","55,29",2024-07-06,0,0
2024-07-06 15:00:00,30.05,"29,7","30,6","43,86",2024-07-06,0,0
2024-07-06 16:00:00,29.75,"29,3","30,2","39,75",2024-07-06,0,0
2024-07-06 17:00:00,29.67,"29,2","30,2","40,09",2024-07-06,0,0
2024-07-06 18:00:00,28.64,"28,3","29,3","43,26",2024-07-06,0,0
2024-07-06 19:00:00,28.01,"26,1","28,9","51,72",2024-07-06,0,0
2024-07-06 20:00:00,24.58,"23,5","25,5","67,25",2024-07-06,0,0
2024-07-06 21:00:00,22.25,"21,3","23,3","75,41",2024-07-06,0,0
2024-07-06 22:00:00,20.01,"19,3",21,"85,78",2024-07-06,0,0
2024-07-06 23:00:00,19.15,"18,9","19,6","92,43",2024-07-06,0,0
2024-07-07 00:00:00,19.52,"19,2","19,7","94,97",2024-07-07,0,0
2024-07-07 01:00:00,19.01,"18,7","19,6","95,83",2024-07-07,0,0
2024-07-07 02:00:00,20.07,"19,7","20,4","96,03",2024-07-07,0,0
2024-07-07 03:00:00,20.25,20,"20,5","93,09",2024-07-07,0,0
2024-07-07 04:00:00,19.93,"19,6","20,1","91,72",2024-07-07,0,0
2024-07-07 05:00:00,19.79,"19,6",20,"88,85",2024-07-07,0,0
2024-07-07 06:00:00,20.78,"20,1","21,2","83,49",2024-07-07,0,0
2024-07-07 07:00:00,20.65,"20,4","20,8","85,95",2024-07-07,0,0
2024-07-07 08:00:00,20.42,20,"21,1","87,92",2024-07-07,0,0
2024-07-07 09:00:00,22.21,"21,2","24,8","82,89",2024-07-07,0,0
2024-07-07 10:00:00,26.82,"25,7","27,6","57,63",2024-07-07,0,0
2024-07-07 11:00:00,28.39,"26,9","29,4","54,46",2024-07-07,0,0
2024-07-07 12:00:00,29.61,29,30,"50,43",2024-07-07,0,0
2024-07-07 13:00:00,28.99,"27,1","30,2","51,58",2024-07-07,0,0
2024-07-07 14:00:00,25.89,25,"26,7","63,3",2024-07-07,0,0
2024-07-07 15:00:00,26.04,"25,6","26,7","63,24",2024-07-07,0,0
2024-07-07 16:00:00,27.13,"25,4","28,7","62,24",2024-07-07,0,0
2024-07-07 17:00:00,25.28,"24,9",26,"69,26",2024-07-07,0,0
2024-07-07 18:00:00,25.79,"25,2","26,5","70,24",2024-07-07,0,0
2024-07-07 19:00:00,24.83,"24,2","25,2","72,71",2024-07-07,0,0
2024-07-07 20:00:00,23.9,"23,8","24,1","78,09",2024-07-07,0,0
2024-07-07 21:00:00,23.67,"23,5","23,8","79,45",2024-07-07,0,0
2024-07-07 22:00:00,22.91,"22,5","23,5","82,47",2024-07-07,0,0
2024-07-07 23:00:00,22.55,"22,5","22,6","85,65",2024-07-07,0,0
2024-07-08 00:00:00,22.26,"21,8","22,5","87,24",2024-07-08,0,0
2024-07-08 01:00:00,21.24,"20,7","21,7","90,84",2024-07-08,0,0
2024-07-08 02:00:00,21.05,"20,7","21,3",93,2024-07-08,0,0
2024-07-08 03:00:00,20.26,"19,6",21,"93,3",2024-07-08,0,0
2024-07-08 04:00:00,19.55,"19,3",20,"95,41",2024-07-08,0,0
2024-07-08 05:00:00,19.7,"19,1","20,1","96,56",2024-07-08,0,0
2024-07-08 06:00:00,19.03,"18,7","19,5","96,87",2024-07-08,0,0
2024-07-08 07:00:00,20.27,"19,2","21,9","97,32",2024-07-08,0,0
2024-07-08 08:00:00,23.92,"22,3",25,"87,41",2024-07-08,0,0
2024-07-08 09:00:00,26.78,"25,1","28,5","71,38",2024-07-08,0,0
2024-07-08 10:00:00,30.05,"28,1","31,3","58,87",2024-07-08,0,0
2024-07-08 11:00:00,31.49,"30,3","32,9","52,08",2024-07-08,0,0
2024-07-08 12:00:00,30.65,"29,3","31,9","49,97",2024-07-08,0,0
2024-07-08 13:00:00,31.56,31,"32,1","48,82",2024-07-08,0,0
2024-07-08 14:00:00,31.03,"29,8","31,9","53,67",2024-07-08,0,0
2024-07-08 15:00:00,31.73,"30,9","32,3","48,66",2024-07-08,0,0
2024-07-08 16:00:00,32.23,"31,8","33,5","44,14",2024-07-08,0,0
2024-07-08 17:00:00,33.12,"32,2","33,9","40,2",2024-07-08,0,0
2024-07-08 18:00:00,32.18,"31,6","32,8","39,78",2024-07-08,0,0
2024-07-08 19:00:00,30.66,"28,7","31,5","40,88",2024-07-08,0,0
2024-07-08 20:00:00,26.76,"24,5","28,3","51,38",2024-07-08,0,0
2024-07-08 21:00:00,22.32,"20,7","24,3","66,21",2024-07-08,0,0
2024-07-08 22:00:00,19.55,"18,9","20,4","76,96",2024-07-08,0,0
2024-07-08 23:00:00,18.67,"18,3","18,9","78,5",2024-07-08,0,0
2024-07-09 00:00:00,18.1,18,"18,2","80,27",2024-07-09,0,0
2024-07-09 00:00:00,18.1,18,"18,2","80,27",2024-07-09,0,0
2024-07-09 01:00:00,17.87,"17,6","18,1","78,71",2024-07-09,0,0
2024-07-09 01:00:00,17.87,"17,6","18,1","78,71",2024-07-09,0,0
2024-07-09 02:00:00,17.86,"17,3","18,8","76,71",2024-07-09,0,0
2024-07-09 02:00:00,17.86,"17,3","18,8","76,71",2024-07-09,0,0
2024-07-09 03:00:00,16.64,"16,3","17,1","80,56",2024-07-09,0,0
2024-07-09 03:00:00,16.64,"16,3","17,1","80,56",2024-07-09,0,0
2024-07-09 04:00:00,16.17,"15,9","16,3","81,33",2024-07-09,0,0
2024-07-09 04:00:00,16.17,"15,9","16,3","81,33",2024-07-09,0,0
2024-07-09 05:00:00,15.45,"15,2","15,8","81,87",2024-07-09,0,0
2024-07-09 05:00:00,15.45,"15,2","15,8","81,87",2024-07-09,0,0
2024-07-09 06:00:00,15.33,15,"15,7","82,29",2024-07-09,0,0
2024-07-09 06:00:00,15.33,15,"15,7","82,29",2024-07-09,0,0
2024-07-09 07:00:00,16.79,"15,6","18,6","80,03",2024-07-09,0,0
2024-07-09 07:00:00,16.79,"15,6","18,6","80,03",2024-07-09,0,0
2024-07-09 08:00:00,24.04,"19,7","27,4","59,79",2024-07-09,0,0
2024-07-09 08:00:00,24.04,"19,7","27,4","59,79",2024-07-09,0,0
2024-07-09 09:00:00,29.16,"26,2","31,2","44,6",2024-07-09,0,0
2024-07-09 09:00:00,29.16,"26,2","31,2","44,6",2024-07-09,0,0
2024-07-09 10:00:00,33.17,"31,9","34,4","33,15",2024-07-09,0,0
2024-07-09 10:00:00,33.17,"31,9","34,4","33,15",2024-07-09,0,0
2024-07-09 11:00:00,34.82,"34,3","35,2","30,84",2024-07-09,0,0
2024-07-09 11:00:00,34.82,"34,3","35,2","30,84",2024-07-09,0,0
2024-07-09 12:00:00,34.48,"33,8","35,3","30,93",2024-07-09,0,0
2024-07-09 12:00:00,34.48,"33,8","35,3","30,93",2024-07-09,0,0
2024-07-09 13:00:00,33.65,"33,3","34,3","31,24",2024-07-09,0,0
2024-07-09 13:00:00,33.65,"33,3","34,3","31,24",2024-07-09,0,0
2024-07-09 14:00:00,34.26,"33,5",35,"31,06",2024-07-09,0,0
2024-07-09 14:00:00,34.26,"33,5",35,"31,06",2024-07-09,0,0
2024-07-09 15:00:00,33.99,"33,7","34,9","30,82",2024-07-09,0,0
2024-07-09 15:00:00,33.99,"33,7","34,9","30,82",2024-07-09,0,0
2024-07-09 16:00:00,34.75,"33,9","35,5","29,38",2024-07-09,0,0
2024-07-09 16:00:00,34.75,"33,9","35,5","29,38",2024-07-09,0,0
2024-07-09 17:00:00,35.1,"34,3",36,"28,69",2024-07-09,0,0
2024-07-09 17:00:00,35.1,"34,3",36,"28,69",2024-07-09,0,0
2024-07-09 18:00:00,33.99,"33,2","34,5","30,3",2024-07-09,0,0
2024-07-09 18:00:00,33.99,"33,2","34,5","30,3",2024-07-09,0,0
2024-07-09 19:00:00,33.68,"31,9","34,3","31,41",2024-07-09,0,0
2024-07-09 19:00:00,33.68,"31,9","34,3","31,41",2024-07-09,0,0
2024-07-09 20:00:00,28.21,"25,6","30,9","41,83",2024-07-09,0,0
2024-07-09 20:00:00,28.21,"25,6","30,9","41,83",2024-07-09,0,0
2024-07-09 21:00:00,23.6,"21,7","25,3","55,71",2024-07-09,0,0
2024-07-09 21:00:00,23.6,"21,7","25,3","55,71",2024-07-09,0,0
2024-07-09 22:00:00,20.55,"19,8","21,4","65,62",2024-07-09,0,0
2024-07-09 22:00:00,20.55,"19,8","21,4","65,62",2024-07-09,0,0
2024-07-09 23:00:00,19.22,"18,8","19,7","70,39",2024-07-09,0,0
2024-07-09 23:00:00,19.22,"18,8","19,7","70,39",2024-07-09,0,0
2024-07-10 00:00:00,18.28,"17,8","18,7","72,05",2024-07-10,0,0
2024-07-10 01:00:00,17.44,17,"17,8","72,74",2024-07-10,0,0
2024-07-10 02:00:00,16.69,"16,4",17,"74,34",2024-07-10,0,0
2024-07-10 03:00:00,16.44,16,"16,7","77,8",2024-07-10,0,0
2024-07-10 04:00:00,16.05,"15,9","16,2","80,74",2024-07-10,0,0
2024-07-10 05:00:00,15.37,15,"15,8","84,65",2024-07-10,0,0
2024-07-10 06:00:00,15.48,15,16,"87,12",2024-07-10,0,0
2024-07-10 07:00:00,18.02,"16,2","20,5","85,37",2024-07-10,0,0
2024-07-10 08:00:00,24.95,"21,5","27,2","66,58",2024-07-10,0,0
2024-07-10 09:00:00,29.14,"26,9","31,8","53,87",2024-07-10,0,0
2024-07-10 10:00:00,33.27,"32,5",34,"45,37",2024-07-10,0,0
2024-07-10 11:00:00,34.85,"33,4","35,7","41,44",2024-07-10,0,0
2024-07-10 12:00:00,35.16,"34,5","35,6","38,49",2024-07-10,0,0
2024-07-10 13:00:00,35.46,35,"35,8","37,25",2024-07-10,0,0
2024-07-10 14:00:00,34.84,"34,5","35,2","40,94",2024-07-10,0,0
2024-07-10 15:00:00,35.21,"34,3","36,2","42,27",2024-07-10,0,0
2024-07-10 16:00:00,35.26,"34,6","36,1","42,45",2024-07-10,0,0
2024-07-10 17:00:00,35.11,34,"36,1","41,65",2024-07-10,0,0
2024-07-10 18:00:00,34.09,"33,6","34,9","41,17",2024-07-10,0,0
2024-07-10 19:00:00,33.1,"30,9","34,2","43,18",2024-07-10,0,0
2024-07-10 20:00:00,28.66,"26,6","30,4","52,13",2024-07-10,0,0
2024-07-10 21:00:00,24.51,23,"26,4","66,08",2024-07-10,0,0
2024-07-10 22:00:00,22.44,"22,1","22,9","67,98",2024-07-10,0,0
2024-07-10 23:00:00,24.02,"23,3","24,8","58,99",2024-07-10,0,0
2024-07-11 00:00:00,22.52,"20,7","24,5","63,99",2024-07-11,0,0
2024-07-11 01:00:00,19.35,"18,5","20,4","74,48",2024-07-11,0,0
2024-07-11 02:00:00,18.0,"17,7","18,4","76,62",2024-07-11,0,0
2024-07-11 03:00:00,17.28,"16,6","17,6","74,01",2024-07-11,0,0
2024-07-11 04:00:00,16.17,"15,9","16,5","77,24",2024-07-11,0,0
2024-07-11 05:00:00,16.21,"16,1","16,3","73,19",2024-07-11,0,0
2024-07-11 06:00:00,16.21,16,"16,5","74,55",2024-07-11,0,0
2024-07-11 07:00:00,17.97,"16,5","19,8","72,93",2024-07-11,0,0
2024-07-11 08:00:00,24.83,"20,8","28,2","55,29",2024-07-11,0,0
2024-07-11 09:00:00,30.15,"26,9","33,3","41,5",2024-07-11,0,0
2024-07-11 10:00:00,32.12,"31,1","33,2","34,16",2024-07-11,0,0
2024-07-11 11:00:00,32.38,"31,6","32,8","38,45",2024-07-11,0,0
2024-07-11 12:00:00,33.11,"32,3","33,7","38,5",2024-07-11,0,0
2024-07-11 13:00:00,33.91,"33,4","34,6","38,16",2024-07-11,0,0
2024-07-11 14:00:00,34.18,"33,3","34,9","37,51",2024-07-11,0,0
2024-07-11 15:00:00,34.76,"33,2","35,5","34,95",2024-07-11,0,0
2024-07-11 16:00:00,34.78,"33,6","35,9","34,17",2024-07-11,0,0
2024-07-11 17:00:00,34.45,"33,9","35,3","33,85",2024-07-11,0,0
2024-07-11 18:00:00,33.49,"32,5","34,2","36,32",2024-07-11,0,0
2024-07-11 19:00:00,32.16,"30,7","32,8","40,71",2024-07-11,0,0
2024-07-11 20:00:00,28.51,"26,6","30,2","51,35",2024-07-11,0,0
2024-07-11 21:00:00,25.18,"24,2","26,3","58,88",2024-07-11,0,0
2024-07-11 22:00:00,22.15,"21,1","23,5","69,58",2024-07-11,0,0
2024-07-11 23:00:00,20.43,20,"20,9","74,88",2024-07-11,0,0
2024-07-12 00:00:00,19.43,"18,9","19,9","76,2",2024-07-12,0,0
2024-07-12 01:00:00,18.44,18,"18,9","78,16",2024-07-12,0,0
2024-07-12 02:00:00,17.76,"17,4",18,"79,55",2024-07-12,0,0
2024-07-12 03:00:00,17.43,"17,1","17,7","79,2",2024-07-12,0,0
2024-07-12 04:00:00,16.8,"16,7",17,"83,55",2024-07-12,0,0
2024-07-12 05:00:00,16.65,"16,5","16,7","86,28",2024-07-12,0,0
2024-07-12 06:00:00,16.58,"16,4","16,9","86,98",2024-07-12,0,0
2024-07-12 07:00:00,17.85,"16,8","19,9","86,05",2024-07-12,0,0
2024-07-12 08:00:00,24.68,"20,7",28,"64,52",2024-07-12,0,0
2024-07-12 09:00:00,30.48,"27,3","33,2","45,02",2024-07-12,0,0
2024-07-12 10:00:00,33.35,"32,9",34,"39,65",2024-07-12,0,0
2024-07-12 11:00:00,34.19,"33,6","34,7","38,45",2024-07-12,0,0
2024-07-12 12:00:00,34.76,"34,1","35,2","36,15",2024-07-12,0,0
2024-07-12 13:00:00,34.84,"34,5","35,1","38,39",2024-07-12,0,0
2024-07-12 14:00:00,34.29,34,"34,6","37,38",2024-07-12,0,0
2024-07-12 15:00:00,34.23,"33,6","34,7","35,81",2024-07-12,0,0
2024-07-12 16:00:00,34.43,"33,7","34,8","34,15",2024-07-12,0,0
2024-07-12 17:00:00,34.36,34,"34,8",33,2024-07-12,0,0
2024-07-12 18:00:00,33.83,"33,1","34,3",31,2024-07-12,0,0
2024-07-12 19:00:00,32.08,"30,2","33,1","34,54",2024-07-12,0,0
2024-07-12 20:00:00,27.48,"25,7","29,5","47,95",2024-07-12,0,0
2024-07-12 21:00:00,23.37,"21,9","25,2","63,09",2024-07-12,0,0
2024-07-12 22:00:00,20.94,"20,5","21,6","73,12",2024-07-12,0,0
