DateTime,Media_Temperatura,Low_Temp,High_Temp,Media_Umidita,Date,Numero_Insetti
2024-07-30 12:00:00,34.0,"33,6","34,4","36,44",2024-07-30,0
2024-07-30 13:00:00,34.32,"34,1","34,7","34,62",2024-07-30,0
2024-07-30 14:00:00,34.38,"33,9","34,8","34,43",2024-07-30,0
2024-07-30 15:00:00,33.9,"33,5","34,2","35,5",2024-07-30,0
2024-07-30 16:00:00,33.05,"32,8","33,3","35,22",2024-07-30,0
2024-07-30 17:00:00,32.3,"30,8","33,1","34,42",2024-07-30,0
2024-07-30 18:00:00,29.59,28,"30,6","38,65",2024-07-30,0
2024-07-30 19:00:00,27.41,"26,9","27,9","41,42",2024-07-30,0
2024-07-30 20:00:00,25.75,"24,5","26,8","45,54",2024-07-30,0
2024-07-30 21:00:00,23.34,"22,3","24,3","55,77",2024-07-30,0
2024-07-30 22:00:00,21.63,"21,2","22,1","65,79",2024-07-30,0
2024-07-30 23:00:00,22.15,"21,5","22,9","65,21",2024-07-30,0
2024-07-31 00:00:00,22.96,"22,6","23,3","62,95",2024-07-31,0
2024-07-31 01:00:00,21.49,"20,6","22,2","68,72",2024-07-31,0
2024-07-31 02:00:00,20.96,"20,4","21,7","70,26",2024-07-31,0
2024-07-31 03:00:00,20.3,"19,6","20,6","72,63",2024-07-31,0
2024-07-31 04:00:00,19.92,"19,3","20,3","74,78",2024-07-31,0
2024-07-31 05:00:00,21.51,"20,1","23,4","71,38",2024-07-31,0
2024-07-31 06:00:00,25.28,"23,8","26,6","59,75",2024-07-31,0
2024-07-31 07:00:00,29.26,27,"31,5","49,56",2024-07-31,0
2024-07-31 08:00:00,32.08,"31,6","32,8","42,15",2024-07-31,0
2024-07-31 09:00:00,33.15,"32,8","33,9","37,89",2024-07-31,0
2024-07-31 10:00:00,34.07,"32,6","35,1","36,33",2024-07-31,0
2024-07-31 11:00:00,35.62,"35,2","36,4","34,63",2024-07-31,0
2024-07-31 12:00:00,36.34,"35,8","36,8","32,95",2024-07-31,0
2024-07-31 13:00:00,36.79,"36,2","37,4","32,59",2024-07-31,0
2024-07-31 14:00:00,37.04,"36,5","37,4","32,95",2024-07-31,0
2024-07-31 15:00:00,37.46,37,"37,9","32,35",2024-07-31,0
2024-07-31 16:00:00,36.08,"35,2","37,1","34,64",2024-07-31,0
2024-07-31 17:00:00,33.67,"31,9","35,2","39,98",2024-07-31,0
2024-07-31 18:00:00,30.84,"29,6","31,7","46,73",2024-07-31,0
2024-07-31 19:00:00,28.48,"27,6","29,4","52,62",2024-07-31,0
2024-07-31 20:00:00,25.93,"25,3","27,3","63,18",2024-07-31,0
2024-07-31 21:00:00,23.57,"22,6","25,3","73,64",2024-07-31,0
2024-07-31 22:00:00,23.3,"22,8","23,8","65,41",2024-07-31,0
2024-07-31 23:00:00,23.1,"22,7","23,8","60,96",2024-07-31,0
2024-08-01 00:00:00,23.81,"23,1","24,2","55,74",2024-08-01,0
2024-08-01 01:00:00,22.88,"22,4","23,5","59,55",2024-08-01,0
